revenue,costs,ebitda,cash_flow,debt,equity,risk_level,explanation_type,human_summary,recommended_action
2282,1370,275,-181,2806,2324,MEDIUM,LIQUIDITY_STRESS,Low or negative cash flow creates pressure on the company’s ability to fund operations on a recurring basis.,"Focus on cash preservation, accelerate collections, and avoid commitments that increase short-term cash needs."
3131,2027,342,-107,1548,1233,CRITICAL,EBITDA_POSITIVE_CASH_NEGATIVE,"The company is producing operating earnings, but the negative cash flow profile raises concerns about earnings quality and funding needs.","Assess whether EBITDA is being absorbed by working capital, financing costs, or investment commitments."
2957,2357,586,-67,3013,2134,HIGH,EBITDA_POSITIVE_CASH_NEGATIVE,"The company generates positive EBITDA but negative cash flow, suggesting that operating profit is not translating into liquidity.","Investigate working capital movements, capex timing, and debt service requirements to explain the cash drain."
3488,3354,-17,-322,2703,669,CRITICAL,CRITICAL_SOLVENCY_RISK,Solvency risk is critical because leverage is excessive while earnings and cash generation do not sufficiently support the debt load.,"Engage lenders early, prepare a liquidity forecast, and evaluate recapitalization alternatives."
1384,850,259,288,495,1169,LOW,STABLE_FINANCIAL_PROFILE,"The business presents a stable financial structure, combining positive earnings, manageable leverage, and adequate cash generation.",Keep leverage within current limits and use periodic scenario analysis to validate resilience under lower revenue assumptions.
3316,2642,530,-41,2838,1356,MEDIUM,LIQUIDITY_STRESS,"The financial data points to liquidity stress, even if some operating indicators may still look acceptable.",Implement weekly liquidity reporting and define minimum cash thresholds for management action.
1362,1408,-176,-153,1007,1844,MEDIUM,OPERATING_LOSS,Negative EBITDA suggests the company is not generating sufficient gross contribution to support its operating structure.,Conduct a profitability analysis by product or segment and discontinue activities with persistent negative contribution.
3036,1909,547,-142,1390,1487,MEDIUM,EBITDA_POSITIVE_CASH_NEGATIVE,"The business appears profitable before non-cash and financing effects, but current cash flow is negative and requires attention.",Introduce short-term liquidity monitoring and delay non-essential spending until cash generation normalizes.
1185,808,218,180,1300,3287,LOW,STABLE_FINANCIAL_PROFILE,"The company shows a solid operating profile, with healthy EBITDA generation and positive cash flow supporting day-to-day liquidity.","Maintain the current operating discipline, monitor margin stability, and consider moderate growth investment if cash generation remains consistent."
4533,2572,844,505,2286,521,HIGH,HIGH_LEVERAGE_PRESSURE,"The capital structure is under pressure, with leverage indicating a material dependence on external financing.",Reduce discretionary investments and prioritize debt reduction through retained cash flow or asset optimization.
1940,1459,114,-73,883,982,MEDIUM,LIQUIDITY_STRESS,Low or negative cash flow creates pressure on the company’s ability to fund operations on a recurring basis.,"Focus on cash preservation, accelerate collections, and avoid commitments that increase short-term cash needs."
4356,2579,784,268,645,808,MEDIUM,WEAK_CASH_CONVERSION,"The company reports positive EBITDA, but cash generation is weak compared with operating earnings, which may indicate working capital pressure.","Review receivables collection, inventory turnover, and payment cycles to identify why accounting earnings are not converting into cash."
2702,2094,189,-174,746,732,MEDIUM,LIQUIDITY_STRESS,"Cash flow is materially weak relative to revenue, suggesting that the company may face short-term liquidity stress.",Create a 13-week cash forecast and identify immediate actions to improve inflows and delay non-critical outflows.
4236,2158,1077,1243,331,526,LOW,STABLE_FINANCIAL_PROFILE,"Revenue quality appears strong, costs are controlled, and cash conversion supports a low-risk financial position.",Continue tracking working capital efficiency and preserve the current balance between expansion and debt control.
4997,5440,-694,-892,1545,298,CRITICAL,CRITICAL_SOLVENCY_RISK,"The financial structure appears fragile, with debt pressure and weak earnings limiting the company’s capacity to absorb shocks.",Suspend non-essential investments and prepare a formal recovery plan focused on solvency stabilization.
2561,1945,579,-27,2379,1631,HIGH,EARNINGS_QUALITY_CONCERN,"The company shows a mismatch between accounting profitability and cash performance, requiring deeper analytical review.","Build an earnings quality report comparing EBITDA, operating cash flow, and working capital movements over time."
4268,5037,-219,-370,2570,351,CRITICAL,CRITICAL_SOLVENCY_RISK,"The company combines weak operating performance with very high leverage, creating a critical solvency risk profile.","Start an urgent restructuring review, including debt renegotiation, equity injection, and cash preservation measures."
4207,2561,860,-272,663,562,CRITICAL,EBITDA_POSITIVE_CASH_NEGATIVE,"The business appears profitable before non-cash and financing effects, but current cash flow is negative and requires attention.",Introduce short-term liquidity monitoring and delay non-essential spending until cash generation normalizes.
